Beginning classifier!
loading baseline...
507
507 8190 507 2
torch.Size([507, 8190]) torch.Size([507, 2])
Predicted tensor([-0.1232,  1.1417]) Actual tensor([0., 1.])
Predicted tensor([0.9120, 0.0875]) Actual tensor([1., 0.])
Predicted tensor([0.0124, 0.9869]) Actual tensor([0., 1.])
Predicted tensor([ 1.0967, -0.0979]) Actual tensor([1., 0.])
Predicted tensor([0.3820, 0.6170]) Actual tensor([0., 1.])
Predicted tensor([0.0989, 0.8986]) Actual tensor([0., 1.])
Predicted tensor([ 1.1355, -0.1357]) Actual tensor([1., 0.])
Predicted tensor([0.7872, 0.2128]) Actual tensor([1., 0.])
Predicted tensor([0.4672, 0.5326]) Actual tensor([0., 1.])
Predicted tensor([0.9036, 0.0958]) Actual tensor([0., 1.])
Predicted tensor([0.3918, 0.6061]) Actual tensor([1., 0.])
Predicted tensor([0.1519, 0.8461]) Actual tensor([0., 1.])
Predicted tensor([0.1378, 0.8604]) Actual tensor([0., 1.])
Predicted tensor([0.8405, 0.1590]) Actual tensor([1., 0.])
Predicted tensor([0.1143, 0.8858]) Actual tensor([0., 1.])
Predicted tensor([0.8374, 0.1620]) Actual tensor([1., 0.])
Predicted tensor([0.2223, 0.7774]) Actual tensor([0., 1.])
Predicted tensor([0.8180, 0.1816]) Actual tensor([1., 0.])
Predicted tensor([0.7218, 0.2779]) Actual tensor([1., 0.])
Predicted tensor([0.3238, 0.6754]) Actual tensor([0., 1.])
Predicted tensor([ 1.1009, -0.1014]) Actual tensor([0., 1.])
Predicted tensor([-0.0153,  1.0154]) Actual tensor([0., 1.])
Predicted tensor([0.5416, 0.4588]) Actual tensor([1., 0.])
Predicted tensor([0.9243, 0.0765]) Actual tensor([1., 0.])
Predicted tensor([ 1.0513, -0.0520]) Actual tensor([1., 0.])
Predicted tensor([0.9735, 0.0262]) Actual tensor([1., 0.])
Predicted tensor([0.7942, 0.2058]) Actual tensor([1., 0.])
Predicted tensor([0.3962, 0.6037]) Actual tensor([0., 1.])
Predicted tensor([0.8139, 0.1851]) Actual tensor([1., 0.])
Predicted tensor([0.6310, 0.3677]) Actual tensor([0., 1.])
Predicted tensor([-0.0017,  1.0006]) Actual tensor([0., 1.])
Predicted tensor([0.4783, 0.5211]) Actual tensor([0., 1.])
Predicted tensor([0.7768, 0.2224]) Actual tensor([1., 0.])
Predicted tensor([ 1.1121, -0.1125]) Actual tensor([0., 1.])
Predicted tensor([ 1.0679, -0.0690]) Actual tensor([1., 0.])
Predicted tensor([0.8822, 0.1166]) Actual tensor([1., 0.])
Predicted tensor([0.6430, 0.3576]) Actual tensor([1., 0.])
Predicted tensor([ 1.0466, -0.0465]) Actual tensor([1., 0.])
Predicted tensor([0.8416, 0.1578]) Actual tensor([1., 0.])
Predicted tensor([0.5491, 0.4509]) Actual tensor([0., 1.])
Predicted tensor([0.8315, 0.1680]) Actual tensor([0., 1.])
Predicted tensor([0.9553, 0.0440]) Actual tensor([1., 0.])
Predicted tensor([0.6431, 0.3563]) Actual tensor([1., 0.])
Predicted tensor([0.0206, 0.9791]) Actual tensor([0., 1.])
Predicted tensor([0.1826, 0.8162]) Actual tensor([0., 1.])
Predicted tensor([-0.0470,  1.0440]) Actual tensor([0., 1.])
Predicted tensor([0.3704, 0.6289]) Actual tensor([0., 1.])
Predicted tensor([-0.1810,  1.1803]) Actual tensor([0., 1.])
Predicted tensor([0.1734, 0.8263]) Actual tensor([0., 1.])
Predicted tensor([0.8298, 0.1691]) Actual tensor([1., 0.])
Predicted tensor([0.5264, 0.4734]) Actual tensor([1., 0.])
Predicted tensor([0.9045, 0.0950]) Actual tensor([1., 0.])
Predicted tensor([-0.1706,  1.1675]) Actual tensor([0., 1.])
Predicted tensor([0.8712, 0.1286]) Actual tensor([1., 0.])
Predicted tensor([0.3122, 0.6870]) Actual tensor([0., 1.])
Predicted tensor([0.7966, 0.2030]) Actual tensor([1., 0.])
Predicted tensor([ 1.0535, -0.0532]) Actual tensor([1., 0.])
Predicted tensor([0.5082, 0.4913]) Actual tensor([0., 1.])
Predicted tensor([-0.1107,  1.1103]) Actual tensor([0., 1.])
Predicted tensor([0.7827, 0.2176]) Actual tensor([1., 0.])
Predicted tensor([0.5104, 0.4889]) Actual tensor([0., 1.])
Predicted tensor([ 1.0272, -0.0273]) Actual tensor([1., 0.])
Predicted tensor([0.8426, 0.1570]) Actual tensor([1., 0.])
Predicted tensor([0.0205, 0.9789]) Actual tensor([0., 1.])
Predicted tensor([ 1.1065, -0.1073]) Actual tensor([1., 0.])
Predicted tensor([0.0705, 0.9280]) Actual tensor([0., 1.])
Predicted tensor([ 1.3646, -0.3651]) Actual tensor([1., 0.])
Predicted tensor([0.1039, 0.8954]) Actual tensor([0., 1.])
Predicted tensor([0.8530, 0.1465]) Actual tensor([1., 0.])
Predicted tensor([0.7888, 0.2099]) Actual tensor([0., 1.])
Predicted tensor([ 1.0559, -0.0565]) Actual tensor([1., 0.])
Predicted tensor([0.3861, 0.6139]) Actual tensor([1., 0.])
Predicted tensor([ 1.1107, -0.1115]) Actual tensor([0., 1.])
Predicted tensor([0.5707, 0.4274]) Actual tensor([1., 0.])
Predicted tensor([ 1.0338, -0.0342]) Actual tensor([1., 0.])
Predicted tensor([0.8227, 0.1775]) Actual tensor([1., 0.])
Predicted tensor([0.9351, 0.0640]) Actual tensor([1., 0.])
Predicted tensor([0.2539, 0.7450]) Actual tensor([0., 1.])
Predicted tensor([0.5061, 0.4922]) Actual tensor([1., 0.])
Predicted tensor([0.1808, 0.8186]) Actual tensor([0., 1.])
Predicted tensor([0.6622, 0.3369]) Actual tensor([1., 0.])
Predicted tensor([0.0943, 0.9057]) Actual tensor([0., 1.])
Predicted tensor([0.2357, 0.7760]) Actual tensor([0., 1.])
Predicted tensor([0.7814, 0.2170]) Actual tensor([1., 0.])
Predicted tensor([0.6840, 0.3155]) Actual tensor([0., 1.])
Predicted tensor([0.7906, 0.2094]) Actual tensor([1., 0.])
Predicted tensor([0.7638, 0.2355]) Actual tensor([1., 0.])
Predicted tensor([0.5717, 0.4297]) Actual tensor([1., 0.])
Predicted tensor([0.9435, 0.0553]) Actual tensor([0., 1.])
Predicted tensor([0.9195, 0.0799]) Actual tensor([1., 0.])
Predicted tensor([0.9438, 0.0560]) Actual tensor([1., 0.])
Predicted tensor([0.9980, 0.0021]) Actual tensor([1., 0.])
Predicted tensor([-0.0754,  1.0741]) Actual tensor([0., 1.])
Predicted tensor([ 1.0929, -0.0933]) Actual tensor([1., 0.])
Predicted tensor([0.0849, 0.9149]) Actual tensor([0., 1.])
Predicted tensor([0.5831, 0.4166]) Actual tensor([0., 1.])
Predicted tensor([ 1.1362, -0.1368]) Actual tensor([1., 0.])
Predicted tensor([0.5788, 0.4206]) Actual tensor([1., 0.])
Predicted tensor([-0.1237,  1.1235]) Actual tensor([0., 1.])
Predicted tensor([0.6988, 0.2999]) Actual tensor([1., 0.])
Predicted tensor([ 1.1870, -0.1874]) Actual tensor([1., 0.])
Predicted tensor([0.9601, 0.0396]) Actual tensor([1., 0.])
Predicted tensor([-0.0741,  1.0740]) Actual tensor([0., 1.])
Predicted tensor([0.7529, 0.2462]) Actual tensor([1., 0.])
Predicted tensor([ 1.0608, -0.0613]) Actual tensor([0., 1.])
Predicted tensor([0.5131, 0.4871]) Actual tensor([1., 0.])
Predicted tensor([9.8890e-04, 9.9750e-01]) Actual tensor([0., 1.])
Predicted tensor([-0.0397,  1.0397]) Actual tensor([0., 1.])
Predicted tensor([0.8990, 0.1008]) Actual tensor([1., 0.])
Predicted tensor([0.6813, 0.3200]) Actual tensor([1., 0.])
Predicted tensor([ 1.0364, -0.0370]) Actual tensor([1., 0.])
Predicted tensor([0.0956, 0.9043]) Actual tensor([0., 1.])
Predicted tensor([0.0421, 0.9575]) Actual tensor([0., 1.])
Predicted tensor([0.1005, 0.8994]) Actual tensor([0., 1.])
Predicted tensor([0.3876, 0.6123]) Actual tensor([0., 1.])
Predicted tensor([ 1.0157, -0.0153]) Actual tensor([1., 0.])
Predicted tensor([ 1.0601, -0.0603]) Actual tensor([1., 0.])
Predicted tensor([-0.2089,  1.2088]) Actual tensor([0., 1.])
Predicted tensor([0.3668, 0.6320]) Actual tensor([0., 1.])
Predicted tensor([0.7594, 0.2407]) Actual tensor([0., 1.])
Predicted tensor([0.3408, 0.6594]) Actual tensor([0., 1.])
Predicted tensor([0.0612, 0.9375]) Actual tensor([0., 1.])
Predicted tensor([0.5088, 0.4892]) Actual tensor([1., 0.])
Predicted tensor([0.4907, 0.5087]) Actual tensor([0., 1.])
Predicted tensor([0.6380, 0.3611]) Actual tensor([1., 0.])
Predicted tensor([0.7446, 0.2544]) Actual tensor([1., 0.])
Predicted tensor([0.1623, 0.8371]) Actual tensor([0., 1.])
Predicted tensor([0.8546, 0.1444]) Actual tensor([0., 1.])
Predicted tensor([0.4286, 0.5699]) Actual tensor([0., 1.])
Predicted tensor([0.7686, 0.2306]) Actual tensor([1., 0.])
Predicted tensor([0.5795, 0.4197]) Actual tensor([1., 0.])
Predicted tensor([0.9271, 0.0730]) Actual tensor([1., 0.])
Predicted tensor([0.7691, 0.2297]) Actual tensor([1., 0.])
Predicted tensor([0.9487, 0.0504]) Actual tensor([0., 1.])
Predicted tensor([0.6987, 0.3015]) Actual tensor([0., 1.])
Predicted tensor([ 1.1067, -0.1073]) Actual tensor([1., 0.])
Predicted tensor([0.7963, 0.2028]) Actual tensor([1., 0.])
Predicted tensor([0.4117, 0.5882]) Actual tensor([0., 1.])
Predicted tensor([ 1.1878, -0.1881]) Actual tensor([1., 0.])
Predicted tensor([0.1592, 0.8398]) Actual tensor([0., 1.])
Predicted tensor([0.6395, 0.3599]) Actual tensor([0., 1.])
Predicted tensor([0.4603, 0.5412]) Actual tensor([1., 0.])
Predicted tensor([0.0862, 0.9130]) Actual tensor([0., 1.])
Predicted tensor([ 1.1104, -0.1103]) Actual tensor([1., 0.])
Predicted tensor([-0.1501,  1.1493]) Actual tensor([0., 1.])
Predicted tensor([0.8839, 0.1152]) Actual tensor([1., 0.])
Predicted tensor([0.0174, 0.9816]) Actual tensor([0., 1.])
Predicted tensor([-2.5478e-04,  1.0041e+00]) Actual tensor([0., 1.])
Predicted tensor([ 1.2755, -0.2760]) Actual tensor([1., 0.])
Predicted tensor([0.5061, 0.4936]) Actual tensor([0., 1.])
Predicted tensor([0.1043, 0.8956]) Actual tensor([0., 1.])
Predicted tensor([0.8118, 0.1879]) Actual tensor([1., 0.])
Predicted tensor([0.6923, 0.3071]) Actual tensor([0., 1.])
Predicted tensor([ 1.3815, -0.3823]) Actual tensor([1., 0.])
Predicted tensor([0.4055, 0.5932]) Actual tensor([0., 1.])
Predicted tensor([0.2826, 0.7169]) Actual tensor([0., 1.])
Predicted tensor([0.6677, 0.3313]) Actual tensor([1., 0.])
Predicted tensor([0.8938, 0.1061]) Actual tensor([1., 0.])
Predicted tensor([0.6122, 0.3885]) Actual tensor([0., 1.])
Predicted tensor([0.1891, 0.8108]) Actual tensor([1., 0.])
Predicted tensor([0.2144, 0.7861]) Actual tensor([0., 1.])
Predicted tensor([0.2660, 0.7334]) Actual tensor([0., 1.])
Predicted tensor([0.9217, 0.0778]) Actual tensor([1., 0.])
Predicted tensor([0.6104, 0.3887]) Actual tensor([1., 0.])
Predicted tensor([-0.2127,  1.2250]) Actual tensor([0., 1.])
Predicted tensor([0.0266, 0.9709]) Actual tensor([0., 1.])
Predicted tensor([0.7044, 0.2952]) Actual tensor([1., 0.])
Predicted tensor([-0.1526,  1.1535]) Actual tensor([0., 1.])
Predicted tensor([0.4940, 0.5054]) Actual tensor([0., 1.])
Predicted tensor([-0.0065,  1.0063]) Actual tensor([0., 1.])
Predicted tensor([0.9110, 0.0880]) Actual tensor([1., 0.])
Predicted tensor([0.8011, 0.1985]) Actual tensor([1., 0.])
Predicted tensor([0.9347, 0.0654]) Actual tensor([1., 0.])
Predicted tensor([0.3516, 0.6479]) Actual tensor([0., 1.])
Predicted tensor([0.7359, 0.2631]) Actual tensor([1., 0.])
Predicted tensor([0.0165, 0.9840]) Actual tensor([0., 1.])
Predicted tensor([ 1.2177, -0.2155]) Actual tensor([1., 0.])
Predicted tensor([0.3530, 0.6462]) Actual tensor([0., 1.])
Predicted tensor([0.3671, 0.6327]) Actual tensor([0., 1.])
Predicted tensor([0.6129, 0.3879]) Actual tensor([1., 0.])
Predicted tensor([ 9.9932e-01, -9.3436e-04]) Actual tensor([1., 0.])
Predicted tensor([0.9547, 0.0448]) Actual tensor([1., 0.])
Predicted tensor([0.9813, 0.0181]) Actual tensor([1., 0.])
Predicted tensor([ 1.3018, -0.3020]) Actual tensor([1., 0.])
Predicted tensor([ 1.0925, -0.0928]) Actual tensor([1., 0.])
Predicted tensor([0.2497, 0.7496]) Actual tensor([0., 1.])
Predicted tensor([0.4251, 0.5739]) Actual tensor([0., 1.])
Predicted tensor([0.8400, 0.1602]) Actual tensor([1., 0.])
Predicted tensor([-0.0276,  1.0275]) Actual tensor([0., 1.])
Predicted tensor([0.6183, 0.3815]) Actual tensor([0., 1.])
Predicted tensor([0.6592, 0.3396]) Actual tensor([1., 0.])
Predicted tensor([0.4046, 0.5946]) Actual tensor([0., 1.])
Predicted tensor([0.2026, 0.7964]) Actual tensor([0., 1.])
Predicted tensor([ 1.0835, -0.0841]) Actual tensor([1., 0.])
Predicted tensor([0.3180, 0.6824]) Actual tensor([1., 0.])
Predicted tensor([ 1.0211, -0.0211]) Actual tensor([1., 0.])
Predicted tensor([0.9482, 0.0511]) Actual tensor([1., 0.])
Predicted tensor([0.8677, 0.1318]) Actual tensor([1., 0.])
Predicted tensor([0.0521, 0.9480]) Actual tensor([0., 1.])
Predicted tensor([0.8918, 0.1076]) Actual tensor([1., 0.])
Predicted tensor([0.1448, 0.8555]) Actual tensor([1., 0.])
Predicted tensor([0.6309, 0.4062]) Actual tensor([1., 0.])
Predicted tensor([-0.0822,  1.0817]) Actual tensor([0., 1.])
Predicted tensor([0.1111, 0.8883]) Actual tensor([0., 1.])
Predicted tensor([0.6009, 0.3975]) Actual tensor([0., 1.])
Predicted tensor([0.6182, 0.3811]) Actual tensor([0., 1.])
Predicted tensor([0.7169, 0.2821]) Actual tensor([1., 0.])
Predicted tensor([ 1.1806, -0.1813]) Actual tensor([1., 0.])
Predicted tensor([-0.1129,  1.1105]) Actual tensor([0., 1.])
Predicted tensor([0.4557, 0.5438]) Actual tensor([1., 0.])
Predicted tensor([0.3162, 0.6824]) Actual tensor([0., 1.])
Predicted tensor([0.6612, 0.3381]) Actual tensor([0., 1.])
Predicted tensor([0.4161, 0.5822]) Actual tensor([0., 1.])
Predicted tensor([0.1104, 0.8888]) Actual tensor([0., 1.])
Predicted tensor([-0.0581,  1.0586]) Actual tensor([0., 1.])
Predicted tensor([0.1424, 0.8575]) Actual tensor([1., 0.])
Predicted tensor([0.7889, 0.2105]) Actual tensor([0., 1.])
Predicted tensor([0.1100, 0.8901]) Actual tensor([0., 1.])
Predicted tensor([0.7713, 0.2282]) Actual tensor([1., 0.])
Predicted tensor([0.9544, 0.0449]) Actual tensor([1., 0.])
Predicted tensor([0.8869, 0.1129]) Actual tensor([1., 0.])
Predicted tensor([ 1.2080, -0.2090]) Actual tensor([0., 1.])
Predicted tensor([0.3025, 0.6954]) Actual tensor([1., 0.])
Predicted tensor([0.8362, 0.1633]) Actual tensor([0., 1.])
Predicted tensor([0.8899, 0.1094]) Actual tensor([0., 1.])
Predicted tensor([0.3844, 0.6154]) Actual tensor([0., 1.])
Predicted tensor([0.6674, 0.3315]) Actual tensor([1., 0.])
Predicted tensor([ 1.0971, -0.0978]) Actual tensor([1., 0.])
Predicted tensor([0.7909, 0.2081]) Actual tensor([1., 0.])
Predicted tensor([0.2257, 0.7728]) Actual tensor([0., 1.])
Predicted tensor([0.0185, 1.0050]) Actual tensor([0., 1.])
Predicted tensor([0.1369, 0.8626]) Actual tensor([0., 1.])
Predicted tensor([0.6464, 0.3534]) Actual tensor([1., 0.])
Predicted tensor([-0.0194,  1.0192]) Actual tensor([0., 1.])
Predicted tensor([0.1605, 0.8378]) Actual tensor([0., 1.])
Predicted tensor([ 1.0734, -0.0740]) Actual tensor([1., 0.])
Predicted tensor([0.2337, 0.7645]) Actual tensor([0., 1.])
Predicted tensor([ 1.0772, -0.0774]) Actual tensor([1., 0.])
Predicted tensor([0.9763, 0.0227]) Actual tensor([1., 0.])
Predicted tensor([0.4917, 0.5085]) Actual tensor([1., 0.])
Predicted tensor([0.2347, 0.7648]) Actual tensor([0., 1.])
Predicted tensor([ 1.0712, -0.0712]) Actual tensor([1., 0.])
Predicted tensor([0.4820, 0.5168]) Actual tensor([0., 1.])
Predicted tensor([0.5554, 0.4442]) Actual tensor([0., 1.])
Predicted tensor([0.1969, 0.8008]) Actual tensor([0., 1.])
Predicted tensor([0.5462, 0.4532]) Actual tensor([0., 1.])
Predicted tensor([0.7312, 0.2684]) Actual tensor([1., 0.])
Predicted tensor([0.6692, 0.3308]) Actual tensor([1., 0.])
Predicted tensor([0.2588, 0.7417]) Actual tensor([0., 1.])
Predicted tensor([0.9507, 0.0496]) Actual tensor([1., 0.])
Predicted tensor([0.0543, 0.9445]) Actual tensor([0., 1.])
Predicted tensor([0.8524, 0.1468]) Actual tensor([1., 0.])
Predicted tensor([0.9073, 0.0915]) Actual tensor([1., 0.])
Predicted tensor([0.5368, 0.4625]) Actual tensor([0., 1.])
Predicted tensor([0.3990, 0.6000]) Actual tensor([0., 1.])
Predicted tensor([ 1.1611, -0.1616]) Actual tensor([1., 0.])
Predicted tensor([0.9443, 0.0544]) Actual tensor([1., 0.])
Predicted tensor([0.6142, 0.3860]) Actual tensor([1., 0.])
Predicted tensor([0.9694, 0.0300]) Actual tensor([0., 1.])
Predicted tensor([ 1.0544, -0.0547]) Actual tensor([1., 0.])
Predicted tensor([0.0368, 0.9614]) Actual tensor([0., 1.])
Predicted tensor([0.0594, 0.9391]) Actual tensor([0., 1.])
Predicted tensor([0.8327, 0.1672]) Actual tensor([1., 0.])
Predicted tensor([ 1.2608, -0.2611]) Actual tensor([1., 0.])
Predicted tensor([0.1417, 0.8572]) Actual tensor([0., 1.])
Predicted tensor([0.2654, 0.7348]) Actual tensor([0., 1.])
Predicted tensor([-0.0957,  1.0924]) Actual tensor([0., 1.])
Predicted tensor([0.5396, 0.4593]) Actual tensor([1., 0.])
Predicted tensor([0.9297, 0.0691]) Actual tensor([1., 0.])
Predicted tensor([0.8777, 0.1216]) Actual tensor([1., 0.])
Predicted tensor([-0.1915,  1.1911]) Actual tensor([0., 1.])
Predicted tensor([0.3772, 0.6223]) Actual tensor([0., 1.])
Predicted tensor([ 1.1087, -0.1090]) Actual tensor([1., 0.])
Predicted tensor([0.0724, 0.9255]) Actual tensor([0., 1.])
Predicted tensor([0.9409, 0.0582]) Actual tensor([1., 0.])
Predicted tensor([0.2170, 0.7815]) Actual tensor([0., 1.])
Predicted tensor([-0.0812,  1.0798]) Actual tensor([0., 1.])
Predicted tensor([0.8228, 0.1768]) Actual tensor([1., 0.])
Predicted tensor([0.1384, 0.8661]) Actual tensor([1., 0.])
Predicted tensor([0.8990, 0.1003]) Actual tensor([0., 1.])
Predicted tensor([0.2970, 0.7020]) Actual tensor([0., 1.])
Predicted tensor([0.8939, 0.1065]) Actual tensor([1., 0.])
Predicted tensor([0.0255, 0.9741]) Actual tensor([0., 1.])
Predicted tensor([0.7739, 0.2246]) Actual tensor([1., 0.])
Predicted tensor([0.7201, 0.2788]) Actual tensor([1., 0.])
Predicted tensor([0.4687, 0.5315]) Actual tensor([0., 1.])
Predicted tensor([0.5995, 0.3997]) Actual tensor([1., 0.])
Predicted tensor([ 1.0522, -0.0527]) Actual tensor([1., 0.])
Predicted tensor([0.6760, 0.3237]) Actual tensor([0., 1.])
Predicted tensor([-0.0577,  1.0581]) Actual tensor([0., 1.])
Predicted tensor([0.0654, 0.9333]) Actual tensor([0., 1.])
Predicted tensor([0.8021, 0.1971]) Actual tensor([1., 0.])
Predicted tensor([0.0545, 0.9440]) Actual tensor([0., 1.])
Predicted tensor([0.8403, 0.1590]) Actual tensor([1., 0.])
Predicted tensor([0.6174, 0.3812]) Actual tensor([1., 0.])
Predicted tensor([0.9265, 0.0730]) Actual tensor([1., 0.])
Predicted tensor([0.7041, 0.2954]) Actual tensor([1., 0.])
Predicted tensor([0.0467, 0.9529]) Actual tensor([0., 1.])
Predicted tensor([0.2260, 0.7735]) Actual tensor([1., 0.])
Predicted tensor([0.0586, 0.9473]) Actual tensor([0., 1.])
Predicted tensor([ 1.2615, -0.2619]) Actual tensor([0., 1.])
Predicted tensor([0.2927, 0.7072]) Actual tensor([0., 1.])
Predicted tensor([0.3179, 0.6806]) Actual tensor([1., 0.])
Predicted tensor([0.1018, 0.8980]) Actual tensor([0., 1.])
Predicted tensor([ 1.0475, -0.0488]) Actual tensor([1., 0.])
Predicted tensor([0.6831, 0.3310]) Actual tensor([1., 0.])
Predicted tensor([0.8589, 0.1398]) Actual tensor([1., 0.])
Predicted tensor([ 1.0529, -0.0535]) Actual tensor([1., 0.])
Predicted tensor([0.8043, 0.1951]) Actual tensor([1., 0.])
Predicted tensor([0.4227, 0.5769]) Actual tensor([0., 1.])
Predicted tensor([-0.2034,  1.2319]) Actual tensor([0., 1.])
Predicted tensor([0.6754, 0.3239]) Actual tensor([0., 1.])
Predicted tensor([0.2740, 0.7248]) Actual tensor([0., 1.])
Predicted tensor([0.9205, 0.0793]) Actual tensor([1., 0.])
Predicted tensor([0.8325, 0.1661]) Actual tensor([1., 0.])
Predicted tensor([0.6242, 0.3746]) Actual tensor([1., 0.])
Predicted tensor([0.8394, 0.1615]) Actual tensor([1., 0.])
Predicted tensor([0.6234, 0.3753]) Actual tensor([1., 0.])
Predicted tensor([ 1.3173, -0.3177]) Actual tensor([1., 0.])
Predicted tensor([0.6798, 0.3194]) Actual tensor([1., 0.])
Predicted tensor([0.6734, 0.3269]) Actual tensor([1., 0.])
Predicted tensor([0.7497, 0.2492]) Actual tensor([1., 0.])
Predicted tensor([-0.0098,  1.0075]) Actual tensor([0., 1.])
Predicted tensor([0.1736, 0.8248]) Actual tensor([0., 1.])
Predicted tensor([0.0672, 0.9326]) Actual tensor([0., 1.])
Predicted tensor([0.2522, 0.7472]) Actual tensor([0., 1.])
Predicted tensor([0.1761, 0.8237]) Actual tensor([0., 1.])
Predicted tensor([0.0274, 0.9702]) Actual tensor([0., 1.])
Predicted tensor([0.4050, 0.5939]) Actual tensor([0., 1.])
Predicted tensor([ 1.1479, -0.1488]) Actual tensor([1., 0.])
Predicted tensor([0.0019, 0.9984]) Actual tensor([0., 1.])
Predicted tensor([ 1.1252, -0.1252]) Actual tensor([1., 0.])
Predicted tensor([0.8162, 0.1835]) Actual tensor([1., 0.])
Predicted tensor([ 1.0102, -0.0106]) Actual tensor([1., 0.])
Predicted tensor([-0.0252,  1.0256]) Actual tensor([0., 1.])
Predicted tensor([0.5117, 0.4861]) Actual tensor([1., 0.])
Predicted tensor([ 1.1672, -0.1672]) Actual tensor([1., 0.])
Predicted tensor([0.1305, 0.8669]) Actual tensor([0., 1.])
Predicted tensor([0.8041, 0.2025]) Actual tensor([1., 0.])
Predicted tensor([0.0104, 0.9876]) Actual tensor([0., 1.])
Predicted tensor([-0.0944,  1.0940]) Actual tensor([0., 1.])
Predicted tensor([0.1923, 0.8059]) Actual tensor([0., 1.])
Predicted tensor([-0.0338,  1.0334]) Actual tensor([0., 1.])
Predicted tensor([ 1.1121, -0.1129]) Actual tensor([1., 0.])
Predicted tensor([ 1.0358, -0.0362]) Actual tensor([0., 1.])
Predicted tensor([0.9269, 0.0728]) Actual tensor([1., 0.])
Predicted tensor([0.9333, 0.0659]) Actual tensor([1., 0.])
Predicted tensor([0.4307, 0.5685]) Actual tensor([0., 1.])
Predicted tensor([0.2477, 0.7509]) Actual tensor([0., 1.])
Predicted tensor([0.1526, 0.8468]) Actual tensor([0., 1.])
Predicted tensor([ 1.2058, -0.2065]) Actual tensor([1., 0.])
Predicted tensor([ 1.1522, -0.1524]) Actual tensor([1., 0.])
Predicted tensor([0.7923, 0.2073]) Actual tensor([1., 0.])
Predicted tensor([0.8660, 0.1333]) Actual tensor([1., 0.])
Predicted tensor([0.7558, 0.2557]) Actual tensor([1., 0.])
Predicted tensor([0.5656, 0.4524]) Actual tensor([0., 1.])
Predicted tensor([0.7578, 0.2413]) Actual tensor([1., 0.])
Predicted tensor([0.3241, 0.6754]) Actual tensor([0., 1.])
Predicted tensor([0.8380, 0.1617]) Actual tensor([1., 0.])
Predicted tensor([0.4956, 0.5043]) Actual tensor([1., 0.])
Predicted tensor([ 1.2944, -0.2940]) Actual tensor([1., 0.])
Predicted tensor([0.3209, 0.6798]) Actual tensor([1., 0.])
Predicted tensor([0.3378, 0.6614]) Actual tensor([0., 1.])
Predicted tensor([0.1824, 0.8164]) Actual tensor([0., 1.])
Predicted tensor([ 1.2029, -0.2030]) Actual tensor([1., 0.])
Predicted tensor([0.3106, 0.6887]) Actual tensor([0., 1.])
Predicted tensor([0.8192, 0.1810]) Actual tensor([0., 1.])
Predicted tensor([ 1.0441, -0.0444]) Actual tensor([1., 0.])
Predicted tensor([0.9452, 0.0537]) Actual tensor([1., 0.])
Predicted tensor([0.9135, 0.0860]) Actual tensor([1., 0.])
Predicted tensor([0.7562, 0.2437]) Actual tensor([1., 0.])
Predicted tensor([0.5830, 0.4168]) Actual tensor([1., 0.])
Predicted tensor([0.9950, 0.0049]) Actual tensor([1., 0.])
Predicted tensor([0.2292, 0.7690]) Actual tensor([0., 1.])
